PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,Age,NewEthpop_ETH
322,E02000001,1,27.0,26.471327551242396,WBI
323,E02000001,1,27.0,26.76481065144945,WBI
324,E02000001,1,27.0,26.221424526953044,WBI
325,E02000001,1,27.0,26.75816987870331,WBI
326,E02000001,1,27.0,26.096267466275037,WBI
327,E02000001,1,27.0,26.146126941550534,WBI
328,E02000001,1,27.0,26.03591287216366,WBI
329,E02000001,1,27.0,26.58951314058058,WBI
330,E02000001,1,27.0,26.020590895876182,WHO
331,E02000001,1,27.0,26.65801579817839,WHO
332,E02000001,1,27.0,26.472676388290058,WHO
333,E02000001,1,27.0,26.291224548876603,MIX
334,E02000001,1,27.0,26.743606480904212,IND
335,E02000001,1,27.0,26.813403366256903,BAN
336,E02000001,1,27.0,26.911799695453883,OAS
337,E02000001,1,27.0,26.647732248820436,BLC
338,E02000001,1,27.0,26.379079783062473,OTH
339,E02000001,1,28.0,27.364152295754018,WBI
340,E02000001,1,28.0,27.916540560759614,WBI
341,E02000001,1,28.0,27.953775152302136,WBI
342,E02000001,1,28.0,27.15061250312737,WBI
343,E02000001,1,28.0,27.188042454333186,WBI
344,E02000001,1,28.0,27.2108091447333,WBI
345,E02000001,1,28.0,27.764307603745312,WBI
346,E02000001,1,28.0,27.409021924322317,WBI
347,E02000001,1,28.0,27.627858212341792,WBI
348,E02000001,1,28.0,27.604715314560927,WBI
349,E02000001,1,28.0,27.366823028293258,WBI
350,E02000001,1,28.0,27.41137529748012,WBI
351,E02000001,1,28.0,27.309940983751208,WBI
352,E02000001,1,28.0,27.702745738625737,WBI
353,E02000001,1,28.0,27.982075804407405,WBI
354,E02000001,1,28.0,27.344590151760414,WHO
355,E02000001,1,28.0,27.01414861750601,WHO
356,E02000001,1,28.0,27.06757226787095,WHO
357,E02000001,1,28.0,27.749619472518866,WHO
358,E02000001,1,28.0,27.259368475060874,WHO
359,E02000001,1,28.0,27.037234182163157,WHO
360,E02000001,1,28.0,27.176987524190878,WHO
361,E02000001,1,28.0,27.6116813236078,CHI
362,E02000001,1,28.0,27.430239806028933,BLA
363,E02000001,1,28.0,27.38583268539951,OTH
364,E02000001,1,29.0,28.55255809790731,WBI
365,E02000001,1,29.0,28.688689038077108,WBI
366,E02000001,1,29.0,28.573643027265966,WBI
367,E02000001,1,29.0,28.958908835734338,WBI
368,E02000001,1,29.0,28.347579823161993,WBI
369,E02000001,1,29.0,28.12316096951658,WBI
370,E02000001,1,29.0,28.941096701104975,WBI
371,E02000001,1,29.0,28.31481246397066,WBI
372,E02000001,1,29.0,28.253101628299053,WBI
373,E02000001,1,29.0,28.657752387266548,WBI
374,E02000001,1,29.0,28.48228619912491,WBI
375,E02000001,1,29.0,28.397376723056606,WBI
376,E02000001,1,29.0,28.650635062909195,WBI
377,E02000001,1,29.0,28.08442012223059,WBI
378,E02000001,1,29.0,28.50623563192787,WBI
379,E02000001,1,29.0,28.250233262269344,WBI
380,E02000001,1,29.0,28.25828026198676,WHO
381,E02000001,1,29.0,28.095847135363396,WHO
382,E02000001,1,29.0,28.57646585536273,MIX
383,E02000001,1,29.0,28.948500097854396,IND
384,E02000001,1,29.0,28.628589010349184,BAN
385,E02000001,1,29.0,28.183341828447652,OBL
386,E02000001,1,30.0,29.15349686163651,WBI
387,E02000001,1,30.0,29.362454670684237,WBI
388,E02000001,1,30.0,29.902547271057017,WBI
389,E02000001,1,30.0,29.107770195667324,WBI
390,E02000001,1,30.0,29.192253878294363,WBI
391,E02000001,1,30.0,29.24706497029319,WBI
392,E02000001,1,30.0,29.771012982709923,WBI
393,E02000001,1,30.0,29.839810011657665,WBI
394,E02000001,1,30.0,29.349385398061262,WBI
395,E02000001,1,30.0,29.67324441863016,WBI
396,E02000001,1,30.0,29.474354002577638,WBI
397,E02000001,1,30.0,29.787720736862653,WBI
398,E02000001,1,30.0,29.699909052400134,WBI
399,E02000001,1,30.0,29.578709674866005,WBI
400,E02000001,1,30.0,29.314054918224482,WHO
401,E02000001,1,30.0,29.076473132636504,WHO
402,E02000001,1,30.0,29.872765288157627,WHO
403,E02000001,1,30.0,29.308165608787906,WHO
404,E02000001,1,30.0,29.118366828506225,MIX
405,E02000001,1,30.0,29.252945125671395,IND
406,E02000001,1,30.0,29.47683795279185,CHI
407,E02000001,1,30.0,29.231393006577736,CHI
408,E02000001,1,30.0,29.87792573553706,OAS
409,E02000001,1,30.0,29.2343688794163,BLA
410,E02000001,1,31.0,30.363357028513093,WBI
411,E02000001,1,31.0,30.958021336426377,WBI
412,E02000001,1,31.0,30.771103184824725,WBI
413,E02000001,1,31.0,30.993287901419816,WBI
414,E02000001,1,31.0,30.798110116195875,WBI
415,E02000001,1,31.0,30.048518320843527,WBI
416,E02000001,1,31.0,30.057620988984063,WBI
417,E02000001,1,31.0,30.988924037479048,WBI
418,E02000001,1,31.0,30.849299982030885,WBI
419,E02000001,1,31.0,30.672990867074116,WBI
420,E02000001,1,31.0,30.286077257473753,WBI
421,E02000001,1,31.0,30.94457007992026,WBI
422,E02000001,1,31.0,30.450833636221667,WBI
423,E02000001,1,31.0,30.252371767853152,WBI
424,E02000001,1,31.0,30.60687103781024,WBI
425,E02000001,1,31.0,30.409110533206395,WBI
426,E02000001,1,31.0,30.163843275834118,WBI
427,E02000001,1,31.0,30.90703193779788,WBI
428,E02000001,1,31.0,30.032055377078464,WBI
429,E02000001,1,31.0,30.816198795892007,WBI
430,E02000001,1,31.0,30.0111944724925,WHO
431,E02000001,1,31.0,30.222158030309384,WHO
432,E02000001,1,31.0,30.7510316697111,WHO
433,E02000001,1,31.0,30.808181397432776,WHO
434,E02000001,1,31.0,30.258921367200518,WHO
435,E02000001,1,31.0,30.78046476528311,WHO
436,E02000001,1,31.0,30.53306488625223,MIX
437,E02000001,1,31.0,30.62139895715368,IND
438,E02000001,1,31.0,30.598243106930415,BAN
439,E02000001,1,31.0,30.122964008231232,BAN
440,E02000001,1,31.0,30.77737057568094,BAN
441,E02000001,1,31.0,30.636127302496956,CHI
442,E02000001,1,32.0,31.970052327844247,WBI
443,E02000001,1,32.0,31.297284635712302,WBI
444,E02000001,1,32.0,31.090881351162427,WBI
445,E02000001,1,32.0,31.1239136961173,WBI
446,E02000001,1,32.0,31.476385026170487,WBI
447,E02000001,1,32.0,31.027291054488416,WBI
448,E02000001,1,32.0,31.704998650823608,WBI
449,E02000001,1,32.0,31.271817173893464,WBI
450,E02000001,1,32.0,31.609905658268413,WBI
451,E02000001,1,32.0,31.68401372931707,WBI
452,E02000001,1,32.0,31.526927913904945,WBI
453,E02000001,1,32.0,31.632535632545434,WBI
454,E02000001,1,32.0,31.882661057051273,WBI
455,E02000001,1,32.0,31.75794153204224,WBI
456,E02000001,1,32.0,31.884853577531267,WBI
457,E02000001,1,32.0,31.811729605526693,WBI
458,E02000001,1,32.0,31.975613713749325,WBI
459,E02000001,1,32.0,31.41793774687633,WBI
460,E02000001,1,32.0,31.774337906656072,WBI
461,E02000001,1,32.0,31.26099175584755,WBI
462,E02000001,1,32.0,31.653351175932446,WBI
463,E02000001,1,32.0,31.67581424279935,WBI
464,E02000001,1,32.0,31.930697658055877,WBI
465,E02000001,1,32.0,31.390560354942412,WBI
466,E02000001,1,32.0,31.357724918072975,WBI
467,E02000001,1,32.0,31.05913402889857,WBI
468,E02000001,1,32.0,31.61978963379143,WBI
469,E02000001,1,32.0,31.116668271399202,WBI
470,E02000001,1,32.0,31.304340822196757,WBI
471,E02000001,1,32.0,31.4626411818572,WBI
472,E02000001,1,32.0,31.74356856356217,WBI
473,E02000001,1,32.0,31.202432448697188,WBI
474,E02000001,1,32.0,31.319342603940274,WBI
475,E02000001,1,32.0,31.676379596224056,WBI
476,E02000001,1,32.0,31.019315090931105,WBI
477,E02000001,1,32.0,31.212720591576353,WBI
478,E02000001,1,32.0,31.93438392383079,WHO
479,E02000001,1,32.0,31.17164030052915,WHO
480,E02000001,1,32.0,31.136088435278772,WHO
481,E02000001,1,32.0,31.669333032086076,WHO
482,E02000001,1,32.0,31.46778304805677,WHO
483,E02000001,1,32.0,31.202431438749723,WHO
484,E02000001,1,32.0,31.94343651040997,WHO
485,E02000001,1,32.0,31.980672621239194,WHO
486,E02000001,1,32.0,31.81314723765599,WHO
487,E02000001,1,32.0,31.442592428524396,WHO
488,E02000001,1,32.0,31.419613835571322,MIX
489,E02000001,1,32.0,31.93103868489242,MIX
490,E02000001,1,32.0,31.70118902563872,MIX
491,E02000001,1,32.0,31.9423892778279,IND
492,E02000001,1,32.0,31.145389680336724,IND
493,E02000001,1,32.0,31.244817729271084,BAN
494,E02000001,1,32.0,31.14733929546318,BAN
495,E02000001,1,32.0,31.922035582634575,CHI
496,E02000001,1,32.0,31.3346225846252,CHI
497,E02000001,1,32.0,31.207747962452025,CHI
498,E02000001,1,32.0,31.57303795476903,OAS
499,E02000001,1,32.0,31.399882214293115,OAS
500,E02000001,1,32.0,31.505611056300555,OTH
501,E02000001,1,32.0,31.433818526305394,OTH
502,E02000001,1,33.0,32.54088057506297,WBI
503,E02000001,1,33.0,32.244307982038585,WBI
504,E02000001,1,33.0,32.42668386744855,WBI
505,E02000001,1,33.0,32.69523529247576,WBI
506,E02000001,1,33.0,32.2765955590489,WBI
507,E02000001,1,33.0,32.2014437952886,WBI
508,E02000001,1,33.0,32.82043597083951,WBI
509,E02000001,1,33.0,32.44343925384344,WBI
510,E02000001,1,33.0,32.578215516360345,WBI
511,E02000001,1,33.0,32.93912246056386,WBI
512,E02000001,1,33.0,32.466415224448326,WBI
513,E02000001,1,33.0,32.40677589199562,WBI
514,E02000001,1,33.0,32.60795582940193,WBI
515,E02000001,1,33.0,32.747879179905055,WBI
516,E02000001,1,33.0,32.84417807192994,WBI
517,E02000001,1,33.0,32.36795307512867,WBI
518,E02000001,1,33.0,32.93242014103052,WBI
519,E02000001,1,33.0,32.410250824105354,WBI
520,E02000001,1,33.0,32.58710823958143,WBI
521,E02000001,1,33.0,32.71727498830303,WBI
522,E02000001,1,33.0,32.94436904508352,WBI
523,E02000001,1,33.0,32.553475411822426,WBI
524,E02000001,1,33.0,32.28396324926128,WBI
525,E02000001,1,33.0,32.29164385447653,WBI
526,E02000001,1,33.0,32.996822365280025,WBI
527,E02000001,1,33.0,32.089838983244206,WBI
528,E02000001,1,33.0,32.82453468120324,WBI
529,E02000001,1,33.0,32.93280136406764,WBI
530,E02000001,1,33.0,32.64504991737671,WBI
531,E02000001,1,33.0,32.91687250846163,WBI
532,E02000001,1,33.0,32.71553553985126,WBI
533,E02000001,1,33.0,32.39575636074737,WBI
534,E02000001,1,33.0,32.02075292592295,WBI
535,E02000001,1,33.0,32.312114794636884,WBI
536,E02000001,1,33.0,32.187606381874154,WBI
537,E02000001,1,33.0,32.92535995615431,WBI
