DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH,Rate
1,37,BAN,0.00096363
1,38,BAN,0.001038206
1,39,BAN,0.001113039
1,40,BAN,0.001264141
1,41,BAN,0.001419341
1,42,BAN,0.0015352879999999999
1,43,BAN,0.0016487770000000001
1,44,BAN,0.0017147579999999998
1,45,BAN,0.0020973420000000003
1,46,BAN,0.002498448
1,47,BAN,0.0027965209999999997
1,48,BAN,0.003066553
1,49,BAN,0.003417175
1,50,BAN,0.003676242
1,51,BAN,0.003900555
1,52,BAN,0.00447524
1,53,BAN,0.004889846
1,54,BAN,0.005896203
1,55,BAN,0.007529659
1,56,BAN,0.008775959
1,57,BAN,0.009635775
1,58,BAN,0.010715523000000001
1,59,BAN,0.011215077
1,60,BAN,0.011722558000000001
1,61,BAN,0.013300743
1,62,BAN,0.014670146
1,63,BAN,0.015354095
1,64,BAN,0.015005553999999999
1,65,BAN,0.017079103999999998
1,66,BAN,0.020833348
1,67,BAN,0.022570566
1,68,BAN,0.024790337000000003
1,69,BAN,0.02985666
1,70,BAN,0.033365397000000005
1,71,BAN,0.033955209
1,72,BAN,0.035671492
1,73,BAN,0.038014308
1,74,BAN,0.041999407
1,75,BAN,0.045221927
1,76,BAN,0.0473667
1,77,BAN,0.05222382
1,78,BAN,0.05798940599999999
1,79,BAN,0.064176433
1,80,BAN,0.06374673900000001
1,81,BAN,0.070467818
1,82,BAN,0.07789752700000001
1,83,BAN,0.08611058099999999
1,84,BAN,0.09518957
1,85,BAN,0.105225795
1,86,BAN,0.160222187
1,1,CHI,0.003159692
1,2,CHI,0.000273455
1,3,CHI,0.00018079400000000002
1,4,CHI,0.000135848
1,5,CHI,0.000219327
1,6,CHI,0.00029621
1,7,CHI,0.00029565099999999997
1,8,CHI,0.000289598
1,9,CHI,0.00021014
1,10,CHI,0.000133215
1,11,CHI,0.000119118
1,12,CHI,0.000124979
1,13,CHI,0.000150348
1,14,CHI,0.000183014
1,15,CHI,0.000191595
1,16,CHI,0.00022172
1,17,CHI,0.000348163
1,18,CHI,0.000469113
1,19,CHI,0.0005040590000000001
1,20,CHI,0.000444924
1,21,CHI,0.00038040199999999995
1,22,CHI,0.000396445
1,23,CHI,0.00039481300000000004
1,24,CHI,0.00044384
1,25,CHI,0.000426799
1,26,CHI,0.000335626
1,27,CHI,0.00036754400000000003
1,28,CHI,0.000388624
1,29,CHI,0.00043287400000000003
1,30,CHI,0.0005011130000000001
1,31,CHI,0.000543473
1,32,CHI,0.00059381
1,33,CHI,0.000675716
1,34,CHI,0.000779225
1,35,CHI,0.000904865
1,36,CHI,0.0010031
1,37,CHI,0.001031605
1,38,CHI,0.001082029
1,39,CHI,0.001104201
1,40,CHI,0.001306726
1,41,CHI,0.0015066670000000002
1,42,CHI,0.001548608
1,43,CHI,0.001675482
1,44,CHI,0.0017405510000000001
1,45,CHI,0.002016024
1,46,CHI,0.00237923
1,47,CHI,0.002573498
1,48,CHI,0.0028512259999999997
1,49,CHI,0.0032751359999999997
1,50,CHI,0.0033368340000000003
1,51,CHI,0.0034906890000000004
1,52,CHI,0.004137775
1,53,CHI,0.004825241
1,54,CHI,0.005778675
1,55,CHI,0.006767662
1,56,CHI,0.007890185
1,57,CHI,0.009001822
1,58,CHI,0.009586485
1,59,CHI,0.009978209
1,60,CHI,0.010859418000000001
1,61,CHI,0.012266785
1,62,CHI,0.013584182
1,63,CHI,0.014218851999999999
1,64,CHI,0.014046467
1,65,CHI,0.01591234
1,66,CHI,0.019086646999999998
1,67,CHI,0.021150844
1,68,CHI,0.023464657000000003
1,69,CHI,0.027950057
1,70,CHI,0.031116718999999998
1,71,CHI,0.032031356000000004
1,72,CHI,0.034017522
1,73,CHI,0.03628061
1,74,CHI,0.039878734
1,75,CHI,0.043240466
1,76,CHI,0.045682925
1,77,CHI,0.050168755
1,78,CHI,0.05617659
1,79,CHI,0.061976147999999995
1,80,CHI,0.06151812
1,81,CHI,0.068283062
1,82,CHI,0.075791922
1,83,CHI,0.084126505
1,84,CHI,0.093377615
1,85,CHI,0.10364603800000001
1,86,CHI,0.199841713
1,1,OAS,0.003261578
1,2,OAS,0.000298417
1,3,OAS,0.000191872
1,4,OAS,0.000139796
1,5,OAS,0.00023674700000000002
1,6,OAS,0.000308691
1,7,OAS,0.000303748
1,8,OAS,0.000317194
1,9,OAS,0.00022936200000000002
1,10,OAS,0.000139203
1,11,OAS,0.000124125
1,12,OAS,0.000131877
1,13,OAS,0.00015342899999999998
1,14,OAS,0.000176667
1,15,OAS,0.00018214200000000002
1,16,OAS,0.000202823
1,17,OAS,0.00030942700000000003
1,18,OAS,0.00044927
1,19,OAS,0.000514355
1,20,OAS,0.00046124800000000004
1,21,OAS,0.00040551
1,22,OAS,0.000423062
1,23,OAS,0.000400781
1,24,OAS,0.00043150800000000004
1,25,OAS,0.000409776
1,26,OAS,0.000318009
1,27,OAS,0.00034170800000000003
1,28,OAS,0.000366738
1,29,OAS,0.000405368
1,30,OAS,0.000450498
1,31,OAS,0.000497367
1,32,OAS,0.000549142
1,33,OAS,0.00063069
1,34,OAS,0.0007389639999999999
1,35,OAS,0.000852841
1,36,OAS,0.0009336739999999999
1,37,OAS,0.000956314
1,38,OAS,0.000998342
1,39,OAS,0.001018471
1,40,OAS,0.0012134239999999998
1,41,OAS,0.001387571
1,42,OAS,0.001419462
1,43,OAS,0.001536474
1,44,OAS,0.0015898610000000001
1,45,OAS,0.0018601029999999999
1,46,OAS,0.002181999
1,47,OAS,0.00239944
1,48,OAS,0.0027494520000000003
1,49,OAS,0.00313729
1,50,OAS,0.003124424
1,51,OAS,0.0034047229999999997
1,52,OAS,0.004071047
1,53,OAS,0.004754527
1,54,OAS,0.005708058
1,55,OAS,0.006635076
1,56,OAS,0.007680526
1,57,OAS,0.008658659
1,58,OAS,0.009269248
1,59,OAS,0.009547579
1,60,OAS,0.010351964
1,61,OAS,0.011806097
1,62,OAS,0.013108125
1,63,OAS,0.013703271999999999
1,64,OAS,0.013462081
1,65,OAS,0.015272903999999999
1,66,OAS,0.018401501
1,67,OAS,0.020135727
1,68,OAS,0.022203177999999997
1,69,OAS,0.026557446000000002
1,70,OAS,0.029666552000000002
1,71,OAS,0.030179201
