DC1117EW_C_AGE,NewEthpop_ETH,Rate,DC1117EW_C_SEX
67,BAN,0.0,2
68,BAN,0.0,2
69,BAN,0.0,2
70,BAN,0.0,2
71,BAN,0.0,2
72,BAN,0.0,2
73,BAN,0.0,2
74,BAN,0.0,2
75,BAN,0.0,2
76,BAN,0.0,2
77,BAN,0.0,2
78,BAN,0.0,2
79,BAN,0.0,2
80,BAN,0.0,2
81,BAN,0.0,2
82,BAN,0.0,2
83,BAN,0.0,2
84,BAN,0.0,2
85,BAN,0.0,2
86,BAN,0.0,2
1,CHI,0.0,2
2,CHI,0.0,2
3,CHI,0.0,2
4,CHI,0.0,2
5,CHI,0.0,2
6,CHI,0.0,2
7,CHI,0.0,2
8,CHI,0.0,2
9,CHI,0.0,2
10,CHI,0.0,2
11,CHI,5.46e-07,2
12,CHI,8.19e-06,2
13,CHI,0.00010680600000000001,2
14,CHI,0.000317141,2
15,CHI,0.000793946,2
16,CHI,0.001723653,2
17,CHI,0.003317826,2
18,CHI,0.005760715,2
19,CHI,0.009673084,2
20,CHI,0.014679932,2
21,CHI,0.02060072,2
22,CHI,0.027109279,2
23,CHI,0.033260893,2
24,CHI,0.039574063,2
25,CHI,0.045044739,2
26,CHI,0.049342642,2
27,CHI,0.052270733,2
28,CHI,0.05314119900000001,2
29,CHI,0.054537544,2
30,CHI,0.054572670999999996,2
31,CHI,0.05345848,2
32,CHI,0.051442550999999996,2
33,CHI,0.046845588,2
34,CHI,0.047198595,2
35,CHI,0.046784158,2
36,CHI,0.045838513,2
37,CHI,0.04455955599999999,2
38,CHI,0.037875334,2
39,CHI,0.034428297999999996,2
40,CHI,0.031214231000000002,2
41,CHI,0.028297361,2
42,CHI,0.025708307000000003,2
43,CHI,0.020878541,2
44,CHI,0.016834166,2
45,CHI,0.013482553999999999,2
46,CHI,0.010730638999999998,2
47,CHI,0.009415999999999999,2
48,CHI,0.007423675,2
49,CHI,0.00582216,2
50,CHI,0.00445664,2
51,CHI,0.0,2
52,CHI,0.0,2
53,CHI,0.0,2
54,CHI,0.0,2
55,CHI,0.0,2
56,CHI,0.0,2
57,CHI,0.0,2
58,CHI,0.0,2
59,CHI,0.0,2
60,CHI,0.0,2
61,CHI,0.0,2
62,CHI,0.0,2
63,CHI,0.0,2
64,CHI,0.0,2
65,CHI,0.0,2
66,CHI,0.0,2
67,CHI,0.0,2
68,CHI,0.0,2
69,CHI,0.0,2
70,CHI,0.0,2
71,CHI,0.0,2
72,CHI,0.0,2
73,CHI,0.0,2
74,CHI,0.0,2
75,CHI,0.0,2
76,CHI,0.0,2
77,CHI,0.0,2
78,CHI,0.0,2
79,CHI,0.0,2
80,CHI,0.0,2
81,CHI,0.0,2
82,CHI,0.0,2
83,CHI,0.0,2
84,CHI,0.0,2
85,CHI,0.0,2
86,CHI,0.0,2
1,OAS,0.0,2
2,OAS,0.0,2
3,OAS,0.0,2
4,OAS,0.0,2
5,OAS,0.0,2
6,OAS,0.0,2
7,OAS,0.0,2
8,OAS,0.0,2
9,OAS,0.0,2
10,OAS,0.0,2
11,OAS,7.72e-07,2
12,OAS,1.36e-05,2
13,OAS,0.00017717900000000002,2
14,OAS,0.000526326,2
15,OAS,0.0013176479999999998,2
16,OAS,0.002860727,2
17,OAS,0.005506639,2
18,OAS,0.009561298000000001,2
19,OAS,0.016054885,2
20,OAS,0.024365217,2
21,OAS,0.034192449,2
22,OAS,0.044994844000000006,2
23,OAS,0.055204869000000004,2
24,OAS,0.065682883,2
25,OAS,0.07476274299999999,2
26,OAS,0.081896041,2
27,OAS,0.086755905,2
28,OAS,0.088200766,2
29,OAS,0.09051822300000001,2
30,OAS,0.09057660699999999,2
31,OAS,0.088727203,2
32,OAS,0.08538113300000001,2
33,OAS,0.077751205,2
34,OAS,0.078336907,2
35,OAS,0.07764880099999999,2
36,OAS,0.076079144,2
37,OAS,0.073956711,2
38,OAS,0.06286264700000001,2
39,OAS,0.05714213,2
40,OAS,0.051807705,2
41,OAS,0.04696616,2
42,OAS,0.042669115,2
43,OAS,0.034653101,2
44,OAS,0.027940517999999998,2
45,OAS,0.022377732999999997,2
46,OAS,0.017810498,2
47,OAS,0.015628074,2
48,OAS,0.012321048000000001,2
49,OAS,0.009662971999999999,2
50,OAS,0.007396562,2
51,OAS,0.0,2
52,OAS,0.0,2
53,OAS,0.0,2
54,OAS,0.0,2
55,OAS,0.0,2
56,OAS,0.0,2
57,OAS,0.0,2
58,OAS,0.0,2
59,OAS,0.0,2
60,OAS,0.0,2
61,OAS,0.0,2
62,OAS,0.0,2
63,OAS,0.0,2
64,OAS,0.0,2
65,OAS,0.0,2
66,OAS,0.0,2
67,OAS,0.0,2
68,OAS,0.0,2
69,OAS,0.0,2
70,OAS,0.0,2
71,OAS,0.0,2
72,OAS,0.0,2
73,OAS,0.0,2
74,OAS,0.0,2
75,OAS,0.0,2
76,OAS,0.0,2
77,OAS,0.0,2
78,OAS,0.0,2
79,OAS,0.0,2
80,OAS,0.0,2
81,OAS,0.0,2
82,OAS,0.0,2
83,OAS,0.0,2
84,OAS,0.0,2
85,OAS,0.0,2
86,OAS,0.0,2
1,BLA,0.0,2
2,BLA,0.0,2
3,BLA,0.0,2
4,BLA,0.0,2
5,BLA,0.0,2
6,BLA,0.0,2
7,BLA,0.0,2
8,BLA,0.0,2
9,BLA,0.0,2
10,BLA,0.0,2
11,BLA,0.00023443099999999998,2
12,BLA,0.001055836,2
13,BLA,0.004095614,2
14,BLA,0.007556385,2
15,BLA,0.012560868000000001,2
16,BLA,0.019124946,2
17,BLA,0.027029398,2
18,BLA,0.035849207,2
19,BLA,0.047017595999999995,2
20,BLA,0.058206086,2
21,BLA,0.068805036,2
22,BLA,0.07830327299999999,2
23,BLA,0.08433670199999999,2
24,BLA,0.08965327,2
25,BLA,0.09297636,2
26,BLA,0.09438824300000001,2
27,BLA,0.094069629,2
28,BLA,0.091023442,2
29,BLA,0.08982929,2
30,BLA,0.087502934,2
31,BLA,0.084322261,2
32,BLA,0.080544365,2
33,BLA,0.073342012,2
34,BLA,0.074638454,2
35,BLA,0.075175495,2
36,BLA,0.075143905,2
37,BLA,0.07470355299999999,2
38,BLA,0.065539014,2
39,BLA,0.062133187,2
40,BLA,0.058846228,2
41,BLA,0.055742934,2
42,BLA,0.05286319900000001,2
43,BLA,0.045270613,2
44,BLA,0.038621759,2
45,BLA,0.032833303,2
46,BLA,0.027821198999999998,2
47,BLA,0.02539029,2
48,BLA,0.021411186000000002,2
49,BLA,0.018006631000000002,2
50,BLA,0.0149601,2
51,BLA,0.0,2
52,BLA,0.0,2
53,BLA,0.0,2
54,BLA,0.0,2
55,BLA,0.0,2
56,BLA,0.0,2
57,BLA,0.0,2
58,BLA,0.0,2
59,BLA,0.0,2
60,BLA,0.0,2
61,BLA,0.0,2
62,BLA,0.0,2
63,BLA,0.0,2
64,BLA,0.0,2
65,BLA,0.0,2
66,BLA,0.0,2
67,BLA,0.0,2
68,BLA,0.0,2
69,BLA,0.0,2
70,BLA,0.0,2
71,BLA,0.0,2
72,BLA,0.0,2
73,BLA,0.0,2
74,BLA,0.0,2
75,BLA,0.0,2
76,BLA,0.0,2
77,BLA,0.0,2
78,BLA,0.0,2
79,BLA,0.0,2
80,BLA,0.0,2
81,BLA,0.0,2
82,BLA,0.0,2
83,BLA,0.0,2
84,BLA,0.0,2
85,BLA,0.0,2
86,BLA,0.0,2
1,BLC,0.0,2
2,BLC,0.0,2
3,BLC,0.0,2
4,BLC,0.0,2
5,BLC,0.0,2
6,BLC,0.0,2
7,BLC,0.0,2
8,BLC,0.0,2
9,BLC,0.0,2
10,BLC,0.0,2
11,BLC,0.00015515399999999999,2
12,BLC,0.000699607,2
13,BLC,0.0027130709999999996,2
14,BLC,0.005005227,2
15,BLC,0.008319975,2
16,BLC,0.012667768000000001,2
17,BLC,0.017903453,2
18,BLC,0.02374536,2
19,BLC,0.031142934,2
20,BLC,0.038553801,2
21,BLC,0.04557413900000001,2
22,BLC,0.051865407999999995,2
23,BLC,0.055861619,2
24,BLC,0.059383102,2
25,BLC,0.061584245999999995,2
26,BLC,0.06251954400000001,2
27,BLC,0.062308562000000005,2
28,BLC,0.060290940999999994,2
29,BLC,0.059500032,2
30,BLC,0.057958968,2
31,BLC,0.05585236,2
32,BLC,0.053349942000000004,2
33,BLC,0.04857927,2
34,BLC,0.049438062000000005,2
35,BLC,0.049793527000000004,2
36,BLC,0.049772610999999994,2
37,BLC,0.049480990999999995,2
38,BLC,0.04341101,2
39,BLC,0.041155306,2
40,BLC,0.038978385,2
41,BLC,0.036922822,2
42,BLC,0.035015286,2
43,BLC,0.029985879,2
44,BLC,0.025581711,2
45,BLC,0.021747301,2
46,BLC,0.018427651,2
47,BLC,0.016817758000000002,2
48,BLC,0.014181721999999999,2
49,BLC,0.011927132,2
50,BLC,0.009909258,2
51,BLC,0.0,2
52,BLC,0.0,2
53,BLC,0.0,2
54,BLC,0.0,2
55,BLC,0.0,2
56,BLC,0.0,2
57,BLC,0.0,2
58,BLC,0.0,2
59,BLC,0.0,2
60,BLC,0.0,2
61,BLC,0.0,2
62,BLC,0.0,2
63,BLC,0.0,2
64,BLC,0.0,2
65,BLC,0.0,2
66,BLC,0.0,2
67,BLC,0.0,2
68,BLC,0.0,2
69,BLC,0.0,2
70,BLC,0.0,2
71,BLC,0.0,2
72,BLC,0.0,2
73,BLC,0.0,2
74,BLC,0.0,2
75,BLC,0.0,2
76,BLC,0.0,2
77,BLC,0.0,2
78,BLC,0.0,2
79,BLC,0.0,2
80,BLC,0.0,2
81,BLC,0.0,2
82,BLC,0.0,2
83,BLC,0.0,2
84,BLC,0.0,2
85,BLC,0.0,2
86,BLC,0.0,2
1,OBL,0.0,2
2,OBL,0.0,2
3,OBL,0.0,2
4,OBL,0.0,2
5,OBL,0.0,2
6,OBL,0.0,2
7,OBL,0.0,2
8,OBL,0.0,2
9,OBL,0.0,2
10,OBL,0.0,2
11,OBL,4.56e-07,2
12,OBL,8.05e-06,2
13,OBL,0.00010454799999999999,2
14,OBL,0.000310568,2
15,OBL,0.0007775010000000001,2
16,OBL,0.0016880220000000002,2
17,OBL,0.003249288,2
18,OBL,0.00564181,2
19,OBL,0.009473463,2
20,OBL,0.014377118999999999,2
21,OBL,0.020175847,2
22,OBL,0.026549987999999997,2
23,OBL,0.03257459,2
24,OBL,0.038757323999999996,2
25,OBL,0.044115053,2
26,OBL,0.048324177999999995,2
27,OBL,0.051191825999999996,2
28,OBL,0.052044390999999995,2
29,OBL,0.053411847,2
30,OBL,0.053446297000000004,2
31,OBL,0.05235502400000001,2
32,OBL,0.050380617999999995,2
33,OBL,0.045878445999999996,2
34,OBL,0.04622405,2
35,OBL,0.045818020999999994,2
36,OBL,0.044891818,2
37,OBL,0.043639439,2
38,OBL,0.037093195,2
39,OBL,0.033717704,2
40,OBL,0.030570035,2
41,OBL,0.027713197000000002,2
42,OBL,0.025177651000000002,2
43,OBL,0.020447663,2
44,OBL,0.016486787,2
45,OBL,0.013204368999999999,2
46,OBL,0.010509393,2
47,OBL,0.009221616,2
48,OBL,0.007270248000000001,2
49,OBL,0.005701804,2
50,OBL,0.004364469,2
51,OBL,0.0,2
52,OBL,0.0,2
53,OBL,0.0,2
54,OBL,0.0,2
55,OBL,0.0,2
56,OBL,0.0,2
57,OBL,0.0,2
58,OBL,0.0,2
59,OBL,0.0,2
60,OBL,0.0,2
61,OBL,0.0,2
62,OBL,0.0,2
63,OBL,0.0,2
64,OBL,0.0,2
65,OBL,0.0,2
66,OBL,0.0,2
67,OBL,0.0,2
68,OBL,0.0,2
69,OBL,0.0,2
70,OBL,0.0,2
71,OBL,0.0,2
72,OBL,0.0,2
73,OBL,0.0,2
74,OBL,0.0,2
75,OBL,0.0,2
76,OBL,0.0,2
77,OBL,0.0,2
78,OBL,0.0,2
79,OBL,0.0,2
80,OBL,0.0,2
81,OBL,0.0,2
82,OBL,0.0,2
83,OBL,0.0,2
84,OBL,0.0,2
85,OBL,0.0,2
86,OBL,0.0,2
1,OTH,0.0,2
2,OTH,0.0,2
3,OTH,0.0,2
4,OTH,0.0,2
5,OTH,0.0,2
6,OTH,0.0,2
7,OTH,0.0,2
8,OTH,0.0,2
9,OTH,0.0,2
10,OTH,0.0,2
11,OTH,6.55e-07,2
12,OTH,1.1599999999999999e-05,2
13,OTH,0.000150211,2
14,OTH,0.000446215,2
15,OTH,0.0011170919999999999,2
16,OTH,0.0024253029999999997,2
17,OTH,0.004668488,2
18,OTH,0.008105997,2
19,OTH,0.013611212,2
20,OTH,0.020656649,2
21,OTH,0.028988102,2
22,OTH,0.038146292000000005,2
23,OTH,0.046802275,2
24,OTH,0.055685455999999994,2
25,OTH,0.063383294,2
26,OTH,0.06943085,2
27,OTH,0.073551006,2
28,OTH,0.07477594900000001,2
29,OTH,0.076740672,2
30,OTH,0.076790169,2
31,OTH,0.075222259,2
32,OTH,0.072385485,2
33,OTH,0.065916889,2
34,OTH,0.066413443,2
35,OTH,0.065830072,2
36,OTH,0.064499328,2
37,OTH,0.062699945,2
38,OTH,0.053294482000000004,2
39,OTH,0.04844467,2
40,OTH,0.043922185,2
41,OTH,0.039817557999999996,2
42,OTH,0.036174556000000004,2
43,OTH,0.029378638999999998,2
44,OTH,0.023687762,2
45,OTH,0.018971675,2
46,OTH,0.015099607,2
47,OTH,0.013249364,2
48,OTH,0.010445692,2
49,OTH,0.008192196,2
50,OTH,0.00627075,2
51,OTH,0.0,2
52,OTH,0.0,2
53,OTH,0.0,2
54,OTH,0.0,2
55,OTH,0.0,2
56,OTH,0.0,2
57,OTH,0.0,2
58,OTH,0.0,2
59,OTH,0.0,2
60,OTH,0.0,2
61,OTH,0.0,2
62,OTH,0.0,2
63,OTH,0.0,2
64,OTH,0.0,2
65,OTH,0.0,2
66,OTH,0.0,2
67,OTH,0.0,2
68,OTH,0.0,2
69,OTH,0.0,2
70,OTH,0.0,2
71,OTH,0.0,2
72,OTH,0.0,2
73,OTH,0.0,2
74,OTH,0.0,2
75,OTH,0.0,2
76,OTH,0.0,2
77,OTH,0.0,2
78,OTH,0.0,2
79,OTH,0.0,2
80,OTH,0.0,2
81,OTH,0.0,2
82,OTH,0.0,2
83,OTH,0.0,2
84,OTH,0.0,2
85,OTH,0.0,2
86,OTH,0.0,2
