NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,40,0.025261905887785024
WHO,1,40,0.00615705473699327
MIX,1,40,0.0008984928038863789
IND,1,40,0.0027044078517564052
PAK,1,40,0.002325635610088755
BAN,1,40,0.0014395923347473073
CHI,1,40,0.004348376527085267
OAS,1,40,0.002227462722215018
BLA,1,40,0.0010578125642839399
BLC,1,40,0.00022598925120532584
OBL,1,40,8.93271571080876e-05
OTH,1,40,0.001799362823721514
WBI,1,41,0.00906837647253822
WHO,1,41,0.0022102247773822035
MIX,1,41,0.0003225358783181861
IND,1,41,0.0009708130749894807
PAK,1,41,0.0008348435523395589
BAN,1,41,0.0005167767355503169
CHI,1,41,0.0015609556763895832
OAS,1,41,0.0007996020028464162
BLA,1,41,0.0003797275871788488
BLC,1,41,8.112434658652758e-05
OBL,1,41,3.20661589618777e-05
OTH,1,41,0.0006459251162077235
WBI,1,42,0.021699329416430733
WHO,1,42,0.005288752145878838
MIX,1,42,0.000771782280261372
IND,1,42,0.002323017000867687
PAK,1,42,0.0019976613573839293
BAN,1,42,0.001236572902923969
CHI,1,42,0.0037351439399322204
OAS,1,42,0.001913333363953925
BLA,1,42,0.0009086338693208151
BLC,1,42,0.0001941189721891905
OBL,1,42,7.672973751592187e-05
OTH,1,42,0.001545606528068484
WBI,1,43,0.007449023531013561
WHO,1,43,0.001815541781421094
MIX,1,43,0.0002649401857613669
IND,1,43,0.0007974535973127847
PAK,1,43,0.0006857643465646335
BAN,1,43,0.00042449517563061795
CHI,1,43,0.0012822135913200176
OAS,1,43,0.0006568159309095566
BLA,1,43,0.00031191908946834004
BLC,1,43,6.663785612464738e-05
OBL,1,43,2.6340059147256674e-05
OTH,1,43,0.0005305813454563448
WBI,1,44,0.01684127059185668
WHO,1,44,0.004104703157995515
MIX,1,44,0.0005989952025909163
IND,1,44,0.0018029385678376066
PAK,1,44,0.0015504237400591724
BAN,1,44,0.0009597282231648739
CHI,1,44,0.0028989176847235166
OAS,1,44,0.0014849751481433454
BLA,1,44,0.0007052083761892904
BLC,1,44,0.00015065950080355006
OBL,1,44,5.955143807205849e-05
OTH,1,44,0.0011995752158143428
WBI,1,45,0.032710929418798586
WHO,1,45,0.0079725965184144
MIX,1,45,0.0011634329896477375
IND,1,45,0.0035018614490691974
PAK,1,45,0.003011399956653388
BAN,1,45,0.0018640875103779302
CHI,1,45,0.005630590118405284
OAS,1,45,0.0028842786531245715
BLA,1,45,0.0013697316537522777
BLC,1,45,0.00029262710732997277
OBL,1,45,0.00011566721625534434
OTH,1,45,0.002329944169177864
WBI,1,46,0.03141544706557883
WHO,1,46,0.007656850121645469
MIX,1,46,0.0011173564356022846
IND,1,46,0.0033631738669278348
PAK,1,46,0.002892136592033457
BAN,1,46,0.0017902622624421665
CHI,1,46,0.005407596450349628
OAS,1,46,0.0027700497955750847
BLA,1,46,0.0013154848555838735
BLC,1,46,0.00028103791496046914
OBL,1,46,0.00011108633640364759
OTH,1,46,0.0022376691525767527
WBI,1,47,0.04048382353811705
WHO,1,47,0.00986707489902768
MIX,1,47,0.001439892313920471
IND,1,47,0.004333986941917316
PAK,1,47,0.0037269801443730087
BAN,1,47,0.002307038997992485
CHI,1,47,0.006968552126739211
OAS,1,47,0.003569651798421501
BLA,1,47,0.0016952124427627186
BLC,1,47,0.00036216226154699675
OBL,1,47,0.0001431524953655249
